,games,pct_of_games,pct_of_ties,stat,win_pct
0,1228,47.05,0.059,fg,0.7989
1,1243,47.62,0.0475,fga,0.4674
2,1296,49.66,0.0069,fg_pct,0.8102
3,1198,45.9,0.082,fg3,0.6511
4,1290,49.43,0.0115,fg3_pct,0.6938
5,1183,45.33,0.0935,orb,0.4548
6,1235,47.32,0.0536,drb,0.7449
7,1260,48.28,0.0345,trb,0.6357
8,1235,47.32,0.0536,ast,0.7174
9,1180,45.21,0.0958,stl,0.6034
10,1162,44.52,0.1096,blk,0.5964
11,1183,45.33,0.0935,tov,0.5841
12,1299,49.77,0.0046,ts_pct,0.8545
13,1299,49.77,0.0046,efg_pct,0.8222
14,1298,49.73,0.0054,fg3a_per_fga_pct,0.5586
15,1293,49.54,0.0092,fta_per_fga_pct,0.5599
