,games,pct_of_games,pct_of_ties,stat,win_pct
0,1162,46.29,0.0741,fg,0.7866
1,1210,48.21,0.0359,fga,0.4587
2,1244,49.56,0.0088,fg_pct,0.8039
3,1105,44.02,0.1195,fg3,0.5765
4,1235,49.2,0.0159,fg3_pct,0.6267
5,1169,46.57,0.0685,orb,0.4542
6,1188,47.33,0.0534,drb,0.7222
7,1196,47.65,0.047,trb,0.6313
8,1180,47.01,0.0598,ast,0.7559
9,1132,45.1,0.098,stl,0.6184
10,1108,44.14,0.1171,blk,0.6525
11,1162,46.29,0.0741,tov,0.5998
12,1252,49.88,0.0024,ts_pct,0.8347
13,1251,49.84,0.0032,efg_pct,0.7962
14,1250,49.8,0.004,fg3a_per_fga_pct,0.48
15,1249,49.76,0.0048,fta_per_fga_pct,0.5877
