,ts_pct,fg_pct,ft,efg_pct,ast,stl,trb,tov,fg3,fta,fg3_pct,blk,fg,total_win_pct,total_win,drb,orb,fga
2000,0.8347,0.8039,0.6261,0.7962,0.7559,0.6184,0.6313,0.5998,0.5765,0.5888,0.6267,0.6525,0.7866,79.8406374502,12525,0.7222,0.4542,0.4587
2001,0.8439,0.8105,0.602,0.8191,0.742,0.5995,0.6613,0.5722,0.6155,0.5864,0.6536,0.622,0.7976,80.4213886672,12596,0.7389,0.4556,0.4682
2002,0.855,0.8148,0.6377,0.8234,0.7307,0.6196,0.6193,0.5981,0.5933,0.6115,0.6497,0.6203,0.7861,80.1211155378,12569,0.7093,0.4592,0.4488
2003,0.839,0.7997,0.6286,0.8122,0.7117,0.5984,0.6275,0.5963,0.5853,0.6061,0.6656,0.5965,0.7839,79.6915814319,12661,0.7293,0.4592,0.4478
2004,0.8421,0.8046,0.6195,0.811,0.7329,0.6191,0.6414,0.6133,0.609,0.6185,0.6758,0.6048,0.7904,80.8916996047,12791,0.7328,0.4784,0.4584
2005,0.8297,0.7682,0.6337,0.7926,0.7052,0.5917,0.6274,0.5774,0.6378,0.6125,0.6758,0.6153,0.757,78.876438987,12847,0.7233,0.4575,0.425
2006,0.8109,0.781,0.6274,0.7928,0.7094,0.5416,0.654,0.5733,0.6231,0.6203,0.6713,0.6237,0.7665,79.5297709924,13023,0.7193,0.4926,0.454
2007,0.8272,0.7909,0.6105,0.7903,0.7218,0.5799,0.6576,0.5945,0.6356,0.5718,0.6672,0.6367,0.7699,80.018404908,13043,0.7317,0.4896,0.4868
2008,0.842,0.7975,0.6375,0.819,0.7447,0.625,0.6696,0.6294,0.6406,0.585,0.6667,0.6024,0.7785,81.5450381679,13353,0.7425,0.4799,0.4715
2009,0.8453,0.7885,0.6215,0.8008,0.7319,0.6091,0.6696,0.585,0.6391,0.6022,0.657,0.6207,0.773,80.641221374,13205,0.7551,0.4925,0.4618
2010,0.8488,0.7962,0.6414,0.8112,0.7189,0.5882,0.676,0.5752,0.633,0.6284,0.6991,0.5995,0.772,81.1892720307,13244,0.7755,0.4863,0.4363
2011,0.8511,0.8009,0.6431,0.818,0.7117,0.5902,0.6364,0.5805,0.6432,0.6163,0.68,0.5884,0.7582,80.0796324655,13073,0.7392,0.4528,0.4283
2012,0.8416,0.7813,0.6094,0.7943,0.7207,0.6031,0.685,0.5846,0.6449,0.5909,0.6574,0.6054,0.7854,81.1385485391,10761,0.7505,0.5171,0.5054
2013,0.8413,0.8072,0.5878,0.8114,0.7322,0.6109,0.6515,0.6074,0.6484,0.5872,0.6708,0.6183,0.8109,80.8888888889,13195,0.7321,0.4802,0.4714
2014,0.8519,0.8096,0.6242,0.8182,0.7212,0.5831,0.6418,0.5796,0.6472,0.586,0.6821,0.6379,0.7879,80.6149162861,13241,0.7405,0.4459,0.4508
2015,0.8545,0.8102,0.5937,0.8222,0.7174,0.6034,0.6357,0.5841,0.6511,0.5625,0.6938,0.5964,0.7989,80.5517241379,13140,0.7449,0.4548,0.4674
2016,0.8444,0.8152,0.5981,0.8117,0.716,0.5803,0.6656,0.5824,0.6399,0.5656,0.6964,0.6412,0.8134,81.179526356,13283,0.7488,0.4905,0.4671
2017,0.8457,0.8116,0.594,0.8272,0.7261,0.6094,0.6463,0.575,0.6817,0.5738,0.7262,0.6155,0.8017,81.4294478528,13273,0.7514,0.4903,0.4835
