,ts_pct,fg_pct,fg3a_per_fga_pct,efg_pct,ast,stl,trb,tov,fg3,fg3_pct,blk,fg,drb,orb,fga,fta_per_fga_pct
2000,1045,1000,600,996,892,700,755,697,637,774,723,914,858,531,555,734
2001,1054,1005,628,1019,880,678,787,658,685,802,701,938,880,529,560,722
2002,1061,1012,606,1026,852,694,737,692,671,805,683,915,849,529,535,751
2003,1063,1010,591,1025,849,681,763,703,679,822,686,932,870,540,541,751
2004,1061,1009,610,1021,878,707,787,717,679,836,681,924,872,565,556,753
2005,1072,991,706,1024,861,681,778,690,759,859,699,916,886,560,527,781
2006,1059,1013,662,1033,879,631,826,688,739,870,726,942,884,601,568,799
2007,1077,1021,674,1029,877,675,818,708,750,852,715,950,900,590,610,734
2008,1098,1040,692,1063,910,740,829,761,763,858,700,963,920,585,595,752
2009,1098,1025,684,1041,898,726,833,695,756,841,715,950,934,594,575,773
2010,1100,1035,643,1053,885,677,843,696,745,897,699,948,950,584,548,808
2011,1109,1042,690,1061,879,700,791,689,759,869,692,922,910,542,535,790
2012,887,818,551,838,725,585,698,570,623,687,557,783,755,514,513,607
2013,1092,1047,671,1050,894,727,817,721,758,860,724,982,902,581,586,756
2014,1116,1059,672,1062,882,691,810,699,785,882,740,973,916,544,564,773
2015,1110,1050,725,1068,886,712,801,691,780,895,693,981,920,538,581,724
2016,1102,1059,680,1056,875,690,836,703,773,899,747,981,933,592,583,738
2017,1096,1051,678,1072,888,702,802,690,814,931,701,966,922,584,599,740
