,ts_pct,fg_pct,ft,efg_pct,ast,stl,trb,tov,fg3,fta,fg3_pct,blk,fg,drb,orb,fga
2000,1045,1000,745,996,892,700,755,697,637,703,774,723,914,858,531,555
2001,1054,1005,714,1019,880,678,787,658,685,706,802,701,938,880,529,560
2002,1061,1012,762,1026,852,694,737,692,671,746,805,683,915,849,529,535
2003,1063,1010,760,1025,849,681,763,703,679,737,822,686,932,870,540,541
2004,1061,1009,744,1021,878,707,787,717,679,754,836,681,924,872,565,556
2005,1072,991,782,1024,861,681,778,690,759,762,859,699,916,886,560,527
2006,1059,1013,788,1033,879,631,826,688,739,776,870,726,942,884,601,568
2007,1077,1021,754,1029,877,675,818,708,750,717,852,715,950,900,590,610
2008,1098,1040,795,1063,910,740,829,761,763,733,858,700,963,920,585,595
2009,1098,1025,770,1041,898,726,833,695,756,754,841,715,950,934,594,575
2010,1100,1035,796,1053,885,677,843,696,745,788,897,699,948,950,584,548
2011,1109,1042,802,1061,879,700,791,689,759,771,869,692,922,910,542,535
2012,887,818,610,838,725,585,698,570,623,598,687,557,783,755,514,513
2013,1092,1047,720,1050,894,727,817,721,758,734,860,724,982,902,581,586
2014,1116,1059,779,1062,882,691,810,699,785,739,882,740,973,916,544,564
2015,1110,1050,732,1068,886,712,801,691,780,702,895,693,981,920,538,581
2016,1102,1059,747,1056,875,690,836,703,773,707,899,747,981,933,592,583
2017,1096,1051,736,1072,888,702,802,690,814,719,931,701,966,922,584,599
